"Event_ID","Company_name","Country","Currency","Ticker","Stock_exchange","Market_index","Event_date","Event_start","Event_end","Estimation_start","Estimation_end","Estimation_dates","FX_weighted","FX_weighted_pct_change","Market_return","World_return","Stock_return","Relative_trading_day"
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-01-26,85.6066807580697,0.0690740240592975,0.0100924693729968,0.00121718882303128,0,-56
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-01-29,85.3543509678364,-0.294754787825904,0.00455227876586065,0.00624644381776183,0.00775187705618522,-55
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-01-30,85.1402477594241,-0.250840415262475,0.00278494443184001,0.00013595688930639,-0.00769224769774657,-54
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-01-31,85.3709316369694,0.270945743776959,-0.00122796083645989,-0.00971341712082455,-0.0155038523592707,-53
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-01,85.0621007545257,-0.361751800667935,0.0031039921583355,0.006701358990678,0.00787405346548522,-52
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-02,85.7217594263792,0.775502445862676,0.00021071383298538,0.00645841080947059,0,-51
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-05,85.4887971237717,-0.271765656895578,-0.00355032565634856,-0.00434469337734468,0,-50
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-06,85.076650709683,-0.482105758830598,0.00376344538876865,0.00339566974792255,NA,-49
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-07,85.1734359340827,0.113762382031263,0.00121257588039713,0.00633685826211044,0,-48
3,"Air New Zealand","New Zealand","NZD","AIRNZ","New Zealand Stock Exchange","S&PNZX",2024-04-15,2024-04-13,2024-04-16,2023-10-08,2024-04-19,2024-02-08,85.473926609289,0.352798583162565,-0.00021204854822167,0.000327711197615888,0.00781243811596741,-47
